T:241, train_loss:1.04122, train_acc:0.46663, val_loss=1.11408, val_acc=0.53549
T:242, train_loss:1.04663, train_acc:0.44806, val_loss=1.07952, val_acc=0.51543
T:243, train_loss:1.04063, train_acc:0.45128, val_loss=1.15209, val_acc=0.53086
T:244, train_loss:1.03044, train_acc:0.45263, val_loss=1.10548, val_acc=0.53704
T:245, train_loss:1.02566, train_acc:0.45687, val_loss=1.51871, val_acc=0.51235
T:246, train_loss:1.02822, train_acc:0.45862, val_loss=1.18901, val_acc=0.50617
T:247, train_loss:1.02985, train_acc:0.44915, val_loss=1.22322, val_acc=0.50617
T:248, train_loss:1.02534, train_acc:0.46065, val_loss=1.39646, val_acc=0.51698
T:249, train_loss:1.02871, train_acc:0.46596, val_loss=1.33381, val_acc=0.47068
T:250, train_loss:1.02149, train_acc:0.46059, val_loss=1.13036, val_acc=0.51235
T:251, train_loss:1.02997, train_acc:0.45822, val_loss=1.23768, val_acc=0.51543
T:252, train_loss:1.02700, train_acc:0.46275, val_loss=1.18407, val_acc=0.51852
T:253, train_loss:1.04122, train_acc:0.45036, val_loss=1.04457, val_acc=0.52315
T:254, train_loss:1.03493, train_acc:0.45976, val_loss=1.01992, val_acc=0.53241
T:255, train_loss:1.02604, train_acc:0.46762, val_loss=1.10401, val_acc=0.53395
T:256, train_loss:1.03660, train_acc:0.46198, val_loss=1.06156, val_acc=0.52932
T:257, train_loss:1.03770, train_acc:0.45235, val_loss=1.04613, val_acc=0.50617
T:258, train_loss:1.02907, train_acc:0.46789, val_loss=1.05904, val_acc=0.51543
T:259, train_loss:1.03258, train_acc:0.46828, val_loss=1.23423, val_acc=0.46605
T:260, train_loss:1.02310, train_acc:0.46452, val_loss=1.24303, val_acc=0.44599
T:261, train_loss:1.02322, train_acc:0.47149, val_loss=1.10181, val_acc=0.51235
T:262, train_loss:1.03404, train_acc:0.46087, val_loss=1.11858, val_acc=0.46296
T:263, train_loss:1.02859, train_acc:0.46745, val_loss=1.11749, val_acc=0.49074
T:264, train_loss:1.03319, train_acc:0.46297, val_loss=1.12124, val_acc=0.50463
T:265, train_loss:1.03688, train_acc:0.46247, val_loss=1.08556, val_acc=0.51389
T:266, train_loss:1.03273, train_acc:0.46668, val_loss=1.16819, val_acc=0.52623
T:267, train_loss:1.03279, train_acc:0.47304, val_loss=1.07576, val_acc=0.54475
T:268, train_loss:1.01741, train_acc:0.48637, val_loss=1.07382, val_acc=0.52469
T:269, train_loss:1.01752, train_acc:0.48421, val_loss=1.12055, val_acc=0.53704
T:270, train_loss:1.00308, train_acc:0.49842, val_loss=1.13961, val_acc=0.54012
T:271, train_loss:0.99419, train_acc:0.50760, val_loss=1.30911, val_acc=0.49691
